"","onset_date","nr","value"
"1",2007-02-18,7,0
"2",2007-02-25,14,0
"3",2007-03-04,21,0
"4",2007-03-11,28,0
"5",2007-03-18,35,0
"6",2007-03-25,42,0
"7",2007-04-01,49,0
"8",2007-04-08,56,0
"9",2007-04-15,63,1
"10",2007-04-22,70,2
"11",2007-04-29,77,0
"12",2007-05-06,84,1
"13",2007-05-13,91,1
"14",2007-05-20,98,9
"15",2007-05-27,105,29
"16",2007-06-03,112,15
"17",2007-06-10,119,9
"18",2007-06-17,126,15
"19",2007-06-24,133,19
"20",2007-07-01,140,6
"21",2007-07-08,147,1
"22",2007-07-15,154,0
"23",2007-07-22,161,0
"24",2007-07-29,168,0
"25",2007-08-05,175,0
"26",2007-08-12,182,0
"27",2007-08-19,189,0
"28",2007-08-26,196,0
"29",2007-09-02,203,0
